span,depth,xSectMax,objectClass,shape,mass,diameter,xSectMin,width,mission,vimpelId,cosparId,predDecayDate,cataloguedFragments,satno,height,xSectAvg,firstEpoch,active,name,onOrbitCataloguedFragments,constellationDiscosID
,,,Rocket Fragmentation Debris,,,,,,,,1963-047H,2092-01-08,0,739,,,1963-11-27,,Atlas LV-3C Centaur D fragmentation debris,0,
0.8,0.8,1.10851251684408,Payload,Poly,49.55,,0.502654824574367,0.8,Defense Communications,,1965-073B,7449-06-08,0,1585,0.8,0.731327412287184,1965-09-18,,Cosmos-87,0,
1.5,,0.775276171561951,Rocket Body,Cyl,60.0,0.5,0.196349540849362,,,,1965-089B,9999-12-31,0,1729,1.5,0.687223392972767,1965-11-06,,FW-4D (Delta E),0,
,,,Rocket Fragmentation Debris,,,,,,,,1973-086DN,9649-03-09,0,7148,,,1973-12-28,,Delta 300 fragmentation debris,0,
1.02,0.4,0.533666562565053,Payload,Hex Poly,,,0.125663706143592,0.4,Defense Sigint,,1976-038C,2344-12-06,0,8835,0.9,0.338909496782296,1976-04-30,,SSU-1,0,
,,,Payload Fragmentation Debris,,,,,,,,1976-067AS,6028-04-27,0,10618,,,1977-09-29,,Cosmos-839 fragmentation debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1974-089ES,6714-01-28,0,14879,,,1975-08-20,,Delta 2310 debris,0,
4.5,,6.48534440231986,Payload,Cyl + 2 Pan,1500.0,1.4,1.539380400259,,Civil Weather,,1985-013A,2980-08-06,2,15516,4.5,5.71769862953342,1985-02-06,,Meteor 2-12,2,
,,,Payload Fragmentation Debris,,,,,,,,1982-055AF,2321-08-20,0,17104,,,1985-10-21,,Cosmos-1375 fragmentation debris,0,
22.7,,35.6994661306948,Payload,Cyl + 2 Pan + 1 Ant,3221.01,1.5,1.76714586764426,,Defense Sigint,,1987-027A,2210-03-21,0,17589,4.5,16.2653438700882,1987-03-18,,Cosmos-1833,0,
,,,Payload Fragmentation Debris,,,,,,,,1970-089DC,2055-05-15,0,17725,,,1970-10-23,,Cosmos-374 fragmentation debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1975-052F,4772-03-31,0,21270,,,1991-05-01,,Delta 2910 debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1975-052BQ,2024-05-18,0,21346,,,1991-05-01,,Delta 2910 debris,0,
